################   Neural Network Training   ################
Era #62       Weight Coefficients: (0.0, 0.09767132, 0.07070519, 0.0558263, 0.049608, 0.049750116, 0.05467117, 0.063265905, 0.07474987)
Era #63       Weight Coefficients: (0.0, 0.09782629, 0.07058496, 0.055598408, 0.04939139, 0.049631324, 0.05471464, 0.06352076, 0.07525448)
Era #64       Weight Coefficients: (0.0, 0.09798117, 0.0704648, 0.055370636, 0.049174897, 0.049512602, 0.054758083, 0.063775465, 0.07575881)
Era #65       Weight Coefficients: (0.0, 0.09813594, 0.070344694, 0.055143006, 0.048958536, 0.049393944, 0.054801505, 0.06403004, 0.076262824)
Era #66       Weight Coefficients: (0.0, 0.09829062, 0.07022466, 0.054915503, 0.0487423, 0.049275365, 0.054844916, 0.064284466, 0.07676659)
Era #67       Weight Coefficients: (0.0, 0.098445214, 0.07010469, 0.05468814, 0.048526186, 0.04915686, 0.0548883, 0.064538755, 0.077270046)
Era #68       Weight Coefficients: (0.0, 0.098599695, 0.0699848, 0.054460905, 0.048310198, 0.04903842, 0.05493166, 0.06479289, 0.07777322)
Era #69       Weight Coefficients: (0.0, 0.09875409, 0.06986496, 0.054233808, 0.048094336, 0.048920058, 0.054974988, 0.065046884, 0.07827611)
Era #70       Weight Coefficients: (0.0, 0.098908395, 0.06974518, 0.05400683, 0.04787861, 0.04880176, 0.05501832, 0.06530074, 0.07877872)
Era #71       Weight Coefficients: (0.0, 0.0990626, 0.06962548, 0.05377999, 0.047663, 0.04868354, 0.05506162, 0.06555445, 0.07928105)
Era #72       Weight Coefficients: (0.0, 0.099216715, 0.06950585, 0.053553272, 0.047447514, 0.048565388, 0.05510489, 0.06580802, 0.07978308)
Era #73       Weight Coefficients: (0.0, 0.09937073, 0.06938628, 0.053326674, 0.047232155, 0.048447303, 0.055148147, 0.066061445, 0.08028484)
Era #74       Weight Coefficients: (0.0, 0.099524654, 0.06926678, 0.05310021, 0.047016926, 0.048329286, 0.05519138, 0.06631472, 0.08078631)
Era #75       Weight Coefficients: (0.0, 0.09967847, 0.06914734, 0.05287389, 0.046801828, 0.048211344, 0.055234596, 0.06656787, 0.0812875)
Era #76       Weight Coefficients: (0.0, 0.0998322, 0.06902798, 0.05264769, 0.046586853, 0.048093468, 0.055277795, 0.06682087, 0.0817884)
Era #77       Weight Coefficients: (0.0, 0.09998583, 0.06890867, 0.052421622, 0.046372, 0.047975663, 0.055320967, 0.067073725, 0.082289025)
Era #78       Weight Coefficients: (0.0, 0.10013937, 0.06878942, 0.052195687, 0.046157267, 0.04785793, 0.055364102, 0.06732645, 0.08278937)
Era #79       Weight Coefficients: (0.0, 0.10029282, 0.06867025, 0.05196989, 0.045942664, 0.047740277, 0.055407226, 0.067579016, 0.08328943)
Era #80       Weight Coefficients: (0.0, 0.100446165, 0.06855112, 0.051744208, 0.04572819, 0.04762269, 0.055450346, 0.067831464, 0.08378921)
Era #81       Weight Coefficients: (0.0, 0.10059942, 0.06843208, 0.051518667, 0.04551384, 0.04750518, 0.05549344, 0.068083756, 0.0842887)
Era #82       Weight Coefficients: (0.0, 0.10075258, 0.06831311, 0.05129325, 0.045299616, 0.047387745, 0.0555365, 0.068335906, 0.08478792)
Era #83       Weight Coefficients: (0.0, 0.100905634, 0.068194196, 0.051067952, 0.04508551, 0.047270365, 0.05557952, 0.068587914, 0.085286826)
Era #84       Weight Coefficients: (0.0, 0.10105861, 0.06807536, 0.050842796, 0.04487154, 0.047153063, 0.055622544, 0.06883979, 0.08578548)
Era #85       Weight Coefficients: (0.0, 0.10121149, 0.06795658, 0.050617762, 0.044657685, 0.04703583, 0.055665545, 0.06909151, 0.08628383)
Era #86       Weight Coefficients: (0.0, 0.10136427, 0.06783787, 0.05039286, 0.044443958, 0.046918657, 0.055708524, 0.0693431, 0.0867819)
Era #87       Weight Coefficients: (0.0, 0.101516955, 0.06771923, 0.050168086, 0.04423035, 0.046801556, 0.055751484, 0.06959455, 0.0872797)
Era #88       Weight Coefficients: (0.0, 0.10166955, 0.067600645, 0.04994345, 0.044016875, 0.046684537, 0.05579442, 0.069845855, 0.0877772)
Era #89       Weight Coefficients: (0.0, 0.101822056, 0.06748213, 0.04971893, 0.043803513, 0.046567578, 0.055837326, 0.07009702, 0.08827442)
Era #90       Weight Coefficients: (0.0, 0.10197445, 0.06736369, 0.049494542, 0.043590277, 0.0464507, 0.055880222, 0.070348054, 0.088771366)
Era #91       Weight Coefficients: (0.0, 0.10212677, 0.06724531, 0.04927029, 0.04337717, 0.046333883, 0.0559231, 0.07059893, 0.08926804)
Era #92       Weight Coefficients: (0.0, 0.10227898, 0.06712698, 0.049046166, 0.043164182, 0.046217132, 0.055965945, 0.07084968, 0.089764416)
Era #93       Weight Coefficients: (0.0, 0.1024311, 0.067008734, 0.048822172, 0.042951334, 0.046100453, 0.056008767, 0.07110029, 0.09026052)
Era #94       Weight Coefficients: (0.0, 0.10258312, 0.06689055, 0.048598304, 0.04273861, 0.045983855, 0.056051575, 0.07135076, 0.090756334)
Era #95       Weight Coefficients: (0.0, 0.10273506, 0.06677243, 0.048374563, 0.042525996, 0.04586732, 0.056094363, 0.0716011, 0.091251865)
